Build Title,CPU_component_name,CPU_Core_Count,CPU_Performance_Core_Clock,CPU_Socket,CPU Cooler_component_name,CPU Cooler_Water_Cooled,CPU Cooler_Radiator_Size_mm,CPU Cooler_Noise_Level,Case_component_name,Case_Type,Case_Height_mm,Case_Width_mm,Case_Depth_mm,Case_ATX,Case_Mini ITX,Memory_component_name,Memory_Speed,Memory_Form_Factor,Memory_Modules,Motherboard_component_name,Motherboard_Chipset,Motherboard_Form_Factor,Motherboard_Memory_Speed,Power Supply_component_name,Power Supply_Wattage,Power Supply_Efficiency_Rating,Power Supply_Modular,Storage_component_name,Storage_Capacity,Storage_Form_Factor,Storage_NVME,Video Card_component_name,Video Card_Chipset,Video Card_Memory,Video Card_TDP
H6 Flow + Arctic Liquid Freezer III 360,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,8,4200,AM5,Unknown,Unknown,Unknown,Unknown,NZXT H6 Flow ATX Mid Tower,ATX Mid Tower,415.0,287.0,435.0,1,1,G.Skill Flare X5 64 GB (2 x 32 GB) DDR5-6000 CL30,6000,DDR5,2 x 32GB,ASRock B650M-HDV/M.2 Micro ATX AM5,AMD B650,Micro ATX,6400,be quiet! Pure Power 12 M 750 W 80+ Gold Certified Fully Modular ATX,750,80+ Gold,Fully Modular,Kingston KC3000 2.048 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2048,M.2-2280,True,Unknown,GeForce RTX 4080 SUPER,16,320
HAF XB Ryzen Ada on Water,AMD Ryzen 7 5800X3D 3.4 GHz 8-Core,8,3400,AM4,Unknown,Unknown,Unknown,Unknown,Cooler Master HAF XB EVO ATX Desktop,ATX Desktop,441.0,330.0,424.0,1,1,G.Skill Trident Z RGB 64 GB (4 x 16 GB) DDR4-3600 CL14,3600,DDR4,4 x 16GB,Asus ROG Strix X570-F Gaming ATX AM4,AMD X570,ATX,4400,Unknown,Unknown,Unknown,Unknown,Western Digital Blue 250 GB M.2-2280 SATA SSD,250,M.2-2280,False,Unknown,GeForce RTX 4080 SUPER,16,320
HTPC 5.0: My Triumphant Return to PCPartPicker and PC Building,AMD Ryzen 7 7700X 4.5 GHz 8-Core,8,4500,AM5,Unknown,Unknown,Unknown,Unknown,Fractal Design North ATX Mid Tower,ATX Mid Tower,447.0,215.0,469.0,1,1,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36,6000,DDR5,2 x 16GB,Asus TUF GAMING B650-E WIFI ATX AM5,AMD B650,ATX,8000,Unknown,Unknown,Unknown,Unknown,"ADATA SU800 256 GB 2.5"" SSD",256,"2.5""",False,Unknown,Radeon RX 7900 XTX,24,355
HTPC v2 - CoolerMaster NR200,AMD Ryzen 5 5600X 3.7 GHz 6-Core,6,3700,AM4,Noctua NH-L9x65 SE-AM4,False,0.0,19.200000000000003,Cooler Master MasterBox NR200 Mini ITX Desktop,Mini ITX Desktop,376.0,185.0,292.0,0,1,Corsair Dominator Platinum 16 GB (2 x 8 GB) DDR4-3000 CL15,3000,DDR4,2 x 8GB,Asus ROG Strix B450-I Gaming Mini ITX AM4,AMD B450,Mini ITX,3600,Unknown,Unknown,Unknown,Unknown,Crucial P1 500 GB M.2-2280 PCIe 3.0 X4 NVME SSD,500,M.2-2280,True,Asus ROG STRIX GAMING OC GeForce RTX 3070 8 GB,GeForce RTX 3070,8,220
HYTE Y60 3070ti TUF Gaming OC Revamp Build,Intel Core i9-10900 2.8 GHz 10-Core,10,2800,LGA1200,Lian Li Galahad II Trinity SL-INF 61.3 CFM Liquid,True,360.0,29.0,HYTE Y60 ATX Mid Tower,ATX Mid Tower,535.0,372.0,540.0,1,1,Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3600 CL18,3600,DDR4,2 x 16GB,Gigabyte Z590 AORUS PRO AX ATX LGA1200,Intel Z590,ATX,3200,Unknown,Unknown,Unknown,Unknown,Samsung 970 Evo Plus 2 TB M.2-2280 PCIe 3.0 X4 NVME SSD,2000,M.2-2280,True,Asus TUF GAMING OC GeForce RTX 3070 Ti 8 GB,GeForce RTX 3070 Ti,8,290
HackMini - Pro | Sub 6L Lunchbox,Intel Core i5-12600KF 3.7 GHz 10-Core,10,3700,LGA1700,Thermalright AXP90-X47 42.58 CFM,False,0.0,22.4,ZZEW A1 Plus Mini ITX Tower,Mini ITX Tower,200.0,114.0,253.0,0,1,TEAMGROUP T-Force Vulcan Z 32 GB (2 x 16 GB) DDR4-3200 CL16,3200,DDR4,2 x 16GB,ASRock Z690M-ITX/ax Mini ITX LGA1700,Intel Z690,Mini ITX,5000,Unknown,Unknown,Unknown,Unknown,ADATA XPG GAMMIX S70 Blade 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,ASRock Challenger ITX Radeon RX 6600 XT 8 GB,Radeon RX 6600 XT,8,160
Happy Accident or TK-421,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,8,4200,AM5,Unknown,Unknown,Unknown,Unknown,Lian Li A3-mATX MicroATX Mini Tower,MicroATX Mini Tower,443.0,194.0,306.0,0,1,Kingston FURY Beast RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,ASRock B850M-X Micro ATX AM5,AMD B850,Micro ATX,8200,Cooler Master V SFX Platinum 1100 W 80+ Platinum Certified Fully Modular SFX,1100,80+ Platinum,Fully Modular,Western Digital Black SN770 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Radeon RX 7900 XTX,24,420
Happy Birthday Dad,AMD Ryzen 5 5500 3.6 GHz 6-Core,6,3600,AM4,Thermalright Assassin X Refined SE RGB 66.17 CFM,False,0.0,25.6,Montech Heritage PRO MicroATX Mid Tower,MicroATX Mid Tower,480.0,235.0,368.0,0,1,G.Skill Ripjaws V 32 GB (2 x 16 GB) DDR4-3200 CL16,3200,DDR4,2 x 16GB,MSI B550M PRO-VDH WIFI Micro ATX AM4,AMD B550,Micro ATX,4400,MSI MAG A650BE 650 W 80+ Bronze Certified Semi-modular ATX,650,80+ Bronze,Semi Modular,Silicon Power UD90 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,XFX Triple Dissipation Radeon RX 5700 XT 8 GB,Radeon RX 5700 XT,8,225
Hard Tube Build,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,8,4200,AM5,Unknown,Unknown,Unknown,Unknown,Lian Li O11D XL-W ATX Full Tower,ATX Full Tower,471.0,285.0,513.0,1,1,G.Skill Trident Z5 RGB 64 GB (2 x 32 GB) DDR5-6400 CL32,6400,DDR5,2 x 32GB,Gigabyte X670E AORUS PRO X ATX AM5,AMD X670E,ATX,8000,Unknown,Unknown,Unknown,Unknown,"Samsung 870 Evo 1 TB 2.5"" SSD",1000,"2.5""",False,Unknown,GeForce RTX 4090,24,450
Haymaker to the Bank Account,Intel Core Ultra 9 285K 3.7 GHz 24-Core,24,3700,LGA1851,Unknown,Unknown,Unknown,Unknown,Corsair 5000D AIRFLOW ATX Mid Tower,ATX Mid Tower,520.0,245.0,520.0,1,1,Corsair Vengeance RGB 64 GB (2 x 32 GB) DDR5-6000 CL30,6000,DDR5,2 x 32GB,Asus TUF GAMING Z890-PLUS WIFI ATX LGA1851,Intel Z890,ATX,8600,MSI MAG A1250GL PCIE5 1250 W 80+ Gold Certified Fully Modular ATX,1250,80+ Gold,Fully Modular,Samsung 990 Pro 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 5090,32,575
Heavener - A Long Needed Upgrade,Intel Core i5-12600KF 3.7 GHz 10-Core,10,3700,LGA1700,Thermalright Assassin King SE ARGB 66.17 CFM,False,0.0,25.6,NZXT H5 Flow (2022) ATX Mid Tower,ATX Mid Tower,446.0,227.0,464.0,1,1,G.Skill Ripjaws V 16 GB (2 x 8 GB) DDR4-3200 CL16,3200,DDR4,2 x 8GB,MSI PRO Z790-P WIFI DDR4 ATX LGA1700,Intel Z790,ATX,5333,Unknown,Unknown,Unknown,Unknown,Inland TN470 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Zotac GAMING AMP GeForce RTX 3060 Ti LHR 8 GB,GeForce RTX 3060 Ti LHR,8,240
Helped my GF build a new PC after her gaming laptop wasn’t cutting it anymore,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,8,4200,AM5,Unknown,Unknown,Unknown,Unknown,NZXT H6 Flow RGB ATX Mid Tower,ATX Mid Tower,415.0,287.0,435.0,1,1,G.Skill Trident Z5 RGB 32 GB (2 x 16 GB) DDR5-6400 CL32,6400,DDR5,2 x 16GB,Gigabyte B650 AORUS ELITE AX ICE ATX AM5,AMD B650,ATX,8000,Unknown,Unknown,Unknown,Unknown,Samsung 980 Pro 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 4070 SUPER,12,220
Here we go again Build,AMD Ryzen 9 9900X 4.4 GHz 12-Core,12,4400,AM5,Unknown,Unknown,Unknown,Unknown,NZXT H7 Flow (2022) ATX Mid Tower,ATX Mid Tower,480.0,230.0,505.0,1,1,G.Skill Flare X5 32 GB (2 x 16 GB) DDR5-6000 CL36,6000,DDR5,2 x 16GB,MSI MAG X870 TOMAHAWK WIFI ATX AM5,AMD X870,ATX,8400,Unknown,Unknown,Unknown,Unknown,Samsung 990 Pro 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 4070,12,200
Heterochromia - Proxmox Server/8 TB NAS [ECC],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fractal Design Node 804 MicroATX Mid Tower,MicroATX Mid Tower,389.0,344.0,307.0,0,1,Unknown,Unknown,Unknown,Unknown,ASRock B550M Phantom Gaming 4 Micro ATX AM4,AMD B550,Micro ATX,4533,Unknown,0,Unknown,Unknown,Western Digital Blue SN580 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,Unknown,Unknown,Unknown
High tier team red,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,8,4700,AM5,Unknown,Unknown,Unknown,Unknown,Antec C8 ATX Full Tower,ATX Full Tower,464.0,303.0,476.0,1,1,G.Skill Trident Z5 Royal Neo RGB 32 GB (2 x 16 GB) DDR5-6000 CL28,6000,DDR5,2 x 16GB,Gigabyte B850 GAMING X WIFI6E ATX AM5,AMD B850,ATX,8200,Thermaltake Toughpower GF A3 - TT Premium Edition 750 W 80+ Gold Certified Fully Modular ATX,750,80+ Gold,Fully Modular,Silicon Power UD90 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,Radeon RX 9070,16,220
High-End Gaming PC with Ryzen 7 7800X3D & RTX 4080 Super,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,8,4200,AM5,Unknown,Unknown,Unknown,Unknown,NZXT H6 Flow ATX Mid Tower,ATX Mid Tower,415.0,287.0,435.0,1,1,G.Skill Trident Z5 Neo RGB 48 GB (2 x 24 GB) DDR5-6400 CL32,6400,DDR5,2 x 24GB,NZXT N7 B650E ATX AM5,AMD B650E,ATX,6000,Unknown,Unknown,Unknown,Unknown,Western Digital WD_Black SN850X w/Heatsink 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 4080 SUPER,16,320
Higz' Build,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,8,4200,AM5,Unknown,Unknown,Unknown,Unknown,Lian Li LANCOOL 216 RGB ATX Mid Tower,ATX Mid Tower,480.9,235.0,491.7,1,1,TEAMGROUP T-Force Delta RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,MSI PRO X670-P WIFI ATX AM5,AMD X670,ATX,4800,Unknown,Unknown,Unknown,Unknown,Samsung 990 Pro 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,Radeon RX 7900 XTX,24,355
Hololive-themed white AMD build,AMD Ryzen 7 5700X3D 3 GHz 8-Core,8,3000,AM4,Unknown,Unknown,Unknown,Unknown,Lian Li O11 VISION COMPACT ATX Mid Tower,ATX Mid Tower,447.5,287.5,446.4,1,1,Corsair Vengeance RGB Pro SL 32 GB (2 x 16 GB) DDR4-3600 CL18,3600,DDR4,2 x 16GB,MSI MAG X570 TOMAHAWK WIFI ATX AM4,AMD X570,ATX,4600,Lian Li EDGE 850 W 80+ Platinum Certified Fully Modular ATX,850,80+ Platinum,Fully Modular,Samsung 970 Evo 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Radeon RX 7900 XT,20,331
Home Build,AMD Ryzen 9 5900XT 3.3 GHz 16-Core,16,3300,AM4,Unknown,Unknown,Unknown,Unknown,Antec DF700 FLUX ATX Mid Tower,ATX Mid Tower,467.0,220.0,486.0,1,1,Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3200 CL16,3200,DDR4,2 x 8GB,Asus ROG STRIX X470-F Gaming ATX AM4,AMD X470,ATX,3466,Unknown,Unknown,Unknown,Unknown,Western Digital WD_Black SN850X 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,EVGA FTW3 ULTRA GAMING GeForce RTX 3080 10GB 10 GB,GeForce RTX 3080 10GB,10,320
Home Office Ryzen APU,AMD Ryzen 5 8600G 4.3 GHz 6-Core,6,4300,AM5,Unknown,Unknown,Unknown,Unknown,Zalman T6 ATX Mid Tower,ATX Mid Tower,377.0,200.0,430.0,1,1,Kingston FURY Beast 16 GB (2 x 8 GB) DDR5-6000 CL30,6000,DDR5,2 x 8GB,Gigabyte B650 EAGLE AX ATX AM5,AMD B650,ATX,7600,Corsair CX (2023) 650 W 80+ Bronze Certified ATX,650,80+ Bronze,Non Modular,Western Digital Blue SN580 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,Unknown,Unknown,Unknown
Home PC,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,8,4700,AM5,Unknown,Unknown,Unknown,Unknown,Lian Li A3-mATX MicroATX Mini Tower,MicroATX Mini Tower,443.0,194.0,306.0,0,1,G.Skill Flare X5 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,Gigabyte B650M AORUS ELITE AX Micro ATX AM5,AMD B650,Micro ATX,6600,Unknown,0,Unknown,Unknown,Samsung 990 Pro 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 4080 SUPER,16,320
Home PC for my mother,AMD Ryzen 5 4600G 3.7 GHz 6-Core,6,3700,AM4,Unknown,Unknown,Unknown,Unknown,GAMDIAS TALOS E3 MESH ATX Mid Tower,ATX Mid Tower,363.0,210.0,447.0,1,1,Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3200 CL16,3200,DDR4,2 x 8GB,MSI A520M-A PRO Micro ATX AM4,AMD A520,Micro ATX,4600,Cougar GX-F 550 W 80+ Gold Certified Fully Modular ATX,550,80+ Gold,Fully Modular,Crucial P3 500 GB M.2-2280 PCIe 3.0 X4 NVME SSD,500,M.2-2280,True,Unknown,Unknown,Unknown,Unknown
Home Server v3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cooler Master Elite 130 Mini ITX Tower,Mini ITX Tower,398.0,240.0,207.0,0,1,Silicon Power SP016GLLTU160N22 16 GB (2 x 8 GB) DDR3-1600 CL11,1600,240-pin DIMM (DDR3),2 x 8GB,MSI H81I Mini ITX LGA1150,Intel H81,Mini ITX,0,Unknown,Unknown,Unknown,Unknown,"SanDisk Ultra 3D 500 GB 2.5"" SSD",500,"2.5""",False,Unknown,Unknown,Unknown,Unknown
Home X=plane 12 Sim,Intel Core i9-14900K 3.2 GHz 24-Core,24,3200,LGA1700,Unknown,Unknown,Unknown,Unknown,Deepcool CH560 ATX Mid Tower,ATX Mid Tower,458.0,230.0,471.0,1,1,Corsair Vengeance 64 GB (2 x 32 GB) DDR5-6000 CL30,6000,DDR5,2 x 32GB,Asus TUF GAMING Z790-PRO WIFI ATX LGA1700,Intel Z790,ATX,7800,Unknown,Unknown,Unknown,Unknown,Samsung 990 Pro 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 4090,24,450
Honda NSX,Intel Core i5-12600KF 3.7 GHz 10-Core,10,3700,LGA1700,CRYORIG A40 ULTIMATE 83 CFM Liquid,True,240.0,25.0,HYTE Y40 ATX Mid Tower,ATX Mid Tower,472.0,240.0,439.0,1,1,G.Skill Trident Z RGB 16 GB (2 x 8 GB) DDR4-3200 CL16,3200,DDR4,2 x 8GB,MSI PRO Z690-A DDR4 ATX LGA1700,Intel Z690,ATX,5200,Unknown,Unknown,Unknown,Unknown,TEAMGROUP MP33 512 GB M.2-2280 PCIe 3.0 X4 NVME SSD,512,M.2-2280,True,Unknown,GeForce RTX 4070 Ti,12,285
Hubble Bubble Tower 300,AMD Ryzen 5 9600X 3.9 GHz 6-Core,6,3900,AM5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6400 CL36,6400,DDR5,2 x 16GB,Gigabyte B850M AORUS ELITE WIFI6E ICE Micro ATX AM5,AMD B850,Micro ATX,8200,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GeForce RTX 4060,8,115
Hyperion Beast,Intel Core i9-14900KF 3.2 GHz 24-Core,24,3200,LGA1700,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Corsair Dominator Titanium 96 GB (2 x 48 GB) DDR5-7000 CL40,7000,DDR5,2 x 48GB,Asus ROG MAXIMUS Z790 HERO BTF ATX LGA1700,Intel Z790,ATX,8000,Asus ROG Strix 1000 W 80+ Platinum Certified Fully Modular ATX,1000,80+ Platinum,Fully Modular,Samsung 990 Pro 4 TB M.2-2280 PCIe 4.0 X4 NVME SSD,4000,M.2-2280,True,Unknown,GeForce RTX 4090,24,450
Hyte Revolt 3 mini monster,AMD Ryzen 5 7600X 4.7 GHz 6-Core,6,4700,AM5,ID-COOLING FROSTFLOW X 76.8 CFM Liquid,True,280.0,24.700000000000003,HYTE REVOLT 3 Mini ITX Tower,Mini ITX Tower,253.0,178.0,409.0,0,1,Corsair Vengeance 32 GB (2 x 16 GB) DDR5-6000 CL36,6000,DDR5,2 x 16GB,ASRock B650I Lightning Wifi Mini ITX AM5,AMD B650,Mini ITX,7200,Thermaltake Toughpower SFX 850 W 80+ Platinum Certified Fully Modular SFX,850,80+ Platinum,Fully Modular,Crucial P3 2 TB M.2-2280 PCIe 3.0 X4 NVME SSD,2000,M.2-2280,True,Sapphire PULSE Radeon RX 7800 XT 16 GB,Radeon RX 7800 XT,16,266
I have built two of these identical Rigs.,Intel Core i9-14900K 3.2 GHz 24-Core,24,3200,LGA1700,Asus ROG STRIX LC II ARGB 80.95 CFM Liquid,True,360.0,37.6,Montech AIR 903 MAX ATX Mid Tower,ATX Mid Tower,478.0,230.0,493.0,1,1,G.Skill Trident Z RGB 96 GB (2 x 48 GB) DDR5-6400 CL32,6400,DDR5,2 x 48GB,Asus TUF GAMING Z790-PLUS WIFI ATX LGA1700,Intel Z790,ATX,7200,Unknown,Unknown,Unknown,Unknown,SK Hynix Platinum P41 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 4060 Ti,16,165
I9-14900kf,Intel Core i9-14900KF 3.2 GHz 24-Core,24,3200,LGA1700,Unknown,Unknown,Unknown,Unknown,Montech KING 95 PRO ATX Mid Tower,ATX Mid Tower,475.0,300.0,442.0,1,1,G.Skill Trident Z5 Neo RGB 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,MSI PRO Z790-A MAX WIFI ATX LGA1700,Intel Z790,ATX,7800,Unknown,Unknown,Unknown,Unknown,Samsung 990 Pro 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 4060 Ti,8,165
INSPIRE 9800X3D/5080 Build,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,8,4700,AM5,Thermalright Frozen Notte ARGB 72.37 CFM Liquid,True,360.0,27.7,NZXT H7 Flow (2024) ATX Mid Tower,ATX Mid Tower,468.0,244.0,544.0,1,1,TEAMGROUP T-Create Expert 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,MSI PRO B650-S WIFI ATX AM5,AMD B650,ATX,6000,MSI MAG A850GL PCIE5 850 W 80+ Gold Certified Fully Modular ATX,850,80+ Gold,Fully Modular,Crucial P5 Plus 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 5080,16,360
IT Hz When IP,AMD Ryzen 7 5700X3D 3 GHz 8-Core,8,3000,AM4,Unknown,Unknown,Unknown,Unknown,NZXT H700i ATX Mid Tower,ATX Mid Tower,494.0,230.0,516.0,1,1,G.Skill Trident Z RGB 32 GB (2 x 16 GB) DDR4-3200 CL16,3200,DDR4,2 x 16GB,Asus TUF GAMING X570-PLUS (WI-FI) ATX AM4,AMD X570,ATX,4400,Asus ROG Strix 850 W 80+ Gold Certified Fully Modular ATX,850,80+ Gold,Fully Modular,Samsung 970 Evo 1 TB M.2-2280 PCIe 3.0 X4 NVME SSD,1000,M.2-2280,True,XFX Speedster MERC 319 Black Radeon RX 6900 XT 16 GB,Radeon RX 6900 XT,16,300
Ice Phantom,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,8,4700,AM5,Unknown,Unknown,Unknown,Unknown,Lian Li O11D EVO RGB ATX Mid Tower,ATX Mid Tower,478.0,290.0,471.0,1,1,Corsair Dominator Titanium 64 GB (2 x 32 GB) DDR5-6000 CL30,6000,DDR5,2 x 32GB,Gigabyte X870E AORUS PRO ICE ATX AM5,AMD X870E,ATX,8000,Lian Li EDGE GOLD 1000 W 80+ Gold Certified Fully Modular ATX,1000,80+ Gold,Fully Modular,Samsung 990 Pro 4 TB M.2-2280 PCIe 4.0 X4 NVME SSD,4000,M.2-2280,True,Unknown,GeForce RTX 5080,16,360
Iceburger,Intel Core i9-12900K 3.2 GHz 16-Core,16,3200,LGA1700,Unknown,Unknown,Unknown,Unknown,Corsair 3500X ATX Mid Tower,ATX Mid Tower,460.0,240.0,506.0,1,1,Corsair Vengeance RGB Pro SL 32 GB (2 x 16 GB) DDR4-3600 CL18,3600,DDR4,2 x 16GB,MSI MAG Z690 TOMAHAWK WIFI DDR4 ATX LGA1700,Intel Z690,ATX,5200,Unknown,Unknown,Unknown,Unknown,"TEAMGROUP T-Force Vulcan Z 512 GB 2.5"" SSD",512,"2.5""",False,PowerColor Red Devil OC Radeon RX 6800 XT 16 GB,Radeon RX 6800 XT,16,300
Idk if this is good or not can u tell me,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,8,4200,AM5,Unknown,Unknown,Unknown,Unknown,Corsair 4000D Airflow ATX Mid Tower,ATX Mid Tower,453.0,230.0,466.0,1,1,Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36,6000,DDR5,2 x 16GB,MSI B650 GAMING PLUS WIFI ATX AM5,AMD B650,ATX,6400,MSI MAG A750GL PCIE5 750 W 80+ Gold Certified Fully Modular ATX,750,80+ Gold,Fully Modular,TEAMGROUP MP33 2 TB M.2-2280 PCIe 3.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 4060,8,115
Imperial Hytes,AMD Ryzen 9 9950X 4.3 GHz 16-Core,16,4300,AM5,Unknown,Unknown,Unknown,Unknown,HYTE Y70 ATX Mid Tower,ATX Mid Tower,470.0,320.0,470.0,1,1,G.Skill Trident Z5 Royal 96 GB (2 x 48 GB) DDR5-6400 CL32,6400,DDR5,2 x 48GB,Gigabyte X870E AORUS PRO ICE ATX AM5,AMD X870E,ATX,8000,Lian Li EDGE 1000 W 80+ Platinum Certified Fully Modular ATX,1000,80+ Platinum,Fully Modular,Crucial T700 1 TB M.2-2280 PCIe 5.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 5090,32,575
Industrial/clean 3rd gen i7,Intel Core i7-3770 3.4 GHz Quad-Core,4,3400,LGA1155,Thermalright Aqua Elite V3 66.17 CFM Liquid,True,240.0,25.6,DIYPC ARGB-Q01 MicroATX Mini Tower,MicroATX Mini Tower,365.76,279.4,391.16,0,1,Patriot Viper 3 16 GB (2 x 8 GB) DDR3-1866 CL10,1866,240-pin DIMM (DDR3),2 x 8GB,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Seagate BarraCuda 250 GB 3.5"" 7200 RPM",250,"3.5""",False,Unknown,Radeon RX 480,8,150
Infinity White,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,8,4200,AM5,Lian Li Galahad II Trinity SL-INF 61.3 CFM Liquid,True,360.0,29.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,G.Skill Trident Z5 Neo RGB 32 GB (2 x 16 GB) DDR5-6400 CL32,6400,DDR5,2 x 16GB,NZXT N7 B650E ATX AM5,AMD B650E,ATX,6000,SeaSonic VERTEX GX 1200 W 80+ Gold Certified Fully Modular ATX,1200,80+ Gold,Fully Modular,Samsung 990 Pro 2 TB M.2-2280 PCIe 4.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,GeForce RTX 4070 Ti SUPER,16,285
Infinity+3,AMD Ryzen 7 5800X3D 3.4 GHz 8-Core,8,3400,AM4,Unknown,Unknown,Unknown,Unknown,Thermaltake Core P3 ATX Mid Tower,ATX Mid Tower,470.0,333.0,512.0,1,1,Corsair Vengeance RGB Pro SL 32 GB (2 x 16 GB) DDR4-3600 CL18,3600,DDR4,2 x 16GB,MSI MPG X570 GAMING PRO CARBON WIFI ATX AM4,AMD X570,ATX,4400,Super Flower Leadex III ARGB 850 W 80+ Gold Certified Fully Modular ATX,850,80+ Gold,Fully Modular,Western Digital Blue SN550 2 TB M.2-2280 PCIe 3.0 X4 NVME SSD,2000,M.2-2280,True,Unknown,Radeon RX 7900 GRE,16,260
Initial P.C. Build,Intel Core i5-14600K 3.5 GHz 14-Core,14,3500,LGA1700,Unknown,Unknown,Unknown,Unknown,Corsair 4000D Airflow ATX Mid Tower,ATX Mid Tower,453.0,230.0,466.0,1,1,Corsair Vengeance 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,Asus ROG STRIX Z790-H GAMING WIFI ATX LGA1700,Intel Z790,ATX,7800,Unknown,0,Unknown,Unknown,Samsung 980 Pro 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 4070 SUPER,12,220
Interwebs Communotron 2023,Intel Core i7-13700K 3.4 GHz 16-Core,16,3400,LGA1700,Noctua NH-U9S 46.44 CFM,False,0.0,19.55,Fractal Design North ATX Mid Tower,ATX Mid Tower,447.0,215.0,469.0,1,1,G.Skill Ripjaws S5 32 GB (2 x 16 GB) DDR5-6000 CL30,6000,DDR5,2 x 16GB,ASRock Z790 Lightning WiFi ATX LGA1700,Intel Z790,ATX,7600,Unknown,Unknown,Unknown,Unknown,SK Hynix Platinum P41 1 TB M.2-2280 PCIe 4.0 X4 NVME SSD,1000,M.2-2280,True,Unknown,GeForce RTX 4070 Ti,12,285
